kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:00 +0000] "GET / HTTP/1.1" 302 (0 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:00 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 (1353 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:00 +0000] "GET /me/ HTTP/1.1" 200 (35 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:53:00 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:08 +0000] "POST /accounts/login/ HTTP/1.1" 302 (0 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:08 +0000] "GET / HTTP/1.1" 200 (951 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:08 +0000] "GET /jsi18n/ HTTP/1.1" 200 (42220 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:08 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:08 +0000] "GET /me/ HTTP/1.1" 200 (522 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:53:09 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
